PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 99.00000000000502 17.99999999999899 43.00000000000001 99.00000007270492 17.99999981905306 42.82987088036948 3.4632344888221263 2.678617046339065 3.729812085811955 3173.902639093896 6.148409510272127 14163.466043280128 99.2504806384154 18.250001136370443 3.6799356 2.3721828 296.2528
2 56.99999999999626 44.999999999998984 33.99999999999999 56.999999308869235 45.000000436198356 34.09276640598912 3.2757057830747347 2.7728412667902105 3.879267654086108 1222.7289758881477 2.378973364859459 12346.114572989138 57.249821587119996 45.249997118147526 3.61626 2.311236 236.5909
3 64.9999999999999 63.999999999999 40.99999999999999 65.00000005887252 64.00000007049663 41.36514190351279 2.5481973614395956 3.1927569803540923 3.9997367650885782 3249.0147588498885 7.141766383448412 12677.178015864163 65.24962033611224 64.2499938713259 3.5535768 2.0147472 327.8048
4 83.99999999999858 44.99999999999898 55.00000000000001 84.00000003156154 44.99999983790607 55.431705687842516 2.2481690175971227 3.8215174522867312 4.030900882708808 4773.058608263804 9.174330069445038 14987.154580557653 84.24986103201188 45.249994206311605 3.9164592 2.0784684 194.9715
5 98.0000000000015 38.999999999998984 102.99999999999999 98.00000043142039 39.00000002992338 103.2340773287355 2.3215827557699487 3.5688319037309797 3.4189775472525032 2073.075882236531 4.630221725544654 11807.866944548206 98.25053608655372 39.250001963227746 3.5763936000000003 2.3099484 184.8878
6 73.00000000000111 105.99999999999896 101.0 72.99999966429871 106.00000001805726 100.8260660237208 3.267871995726949 2.980812806232642 3.1406620199863355 3982.7444047218546 8.900557808020512 12905.47588086547 73.24995929868749 106.24999669447539 3.685494 2.445702 308.1873
7 27.999999999999318 15.999999999998991 58.00000000000001 27.999999979077472 15.99999997118708 57.96445459967814 3.350079023275662 2.6545879265710566 4.392435608598852 3972.4930401427764 6.696342806755234 16502.399376328125 28.250545852599032 16.250003988511068 3.5233572000000004 2.4198936 295.2374
8 77.99999999999963 85.99999999999896 40.000000000000014 78.0000002300241 86.00000025338754 39.75953647285817 3.322372231488961 3.2613440137971828 3.8883011709001147 5288.327312515638 8.798524335846555 17293.713121402783 78.24947303320579 86.24999845362845 3.9472704 2.4685764000000003 313.7977
9 51.00000000000276 88.99999999999898 98.0 50.99999992357388 88.99999992175117 98.06872581287251 2.6843771788706148 3.497766029110876 4.619764390825745 4167.951863596598 6.563517356897165 17623.60517798838 51.24988198980432 89.24999820684013 3.7520436000000004 2.3157012 332.633
10 46.99999999999699 38.99999999999899 81.00000000000001 46.99999958588381 39.00000011012818 80.67988514653484 2.262395333710001 3.50358274287135 3.736260113377959 930.9365120596798 2.0426599302203825 10661.762371658693 47.24987909725604 39.24999991369594 3.5799396000000003 2.1395568000000003 345.169
11 31.000000000001336 74.99999999999899 24.000000000000007 31.00000021275025 74.99999980174881 23.601279942073084 3.658810278906285 2.0909446091426007 3.0666955480903106 3534.385505558313 9.73252757043117 10492.609895367359 31.249535983439728 75.24999894431845 3.7074048 2.003598 281.0704
12 84.00000000000034 24.99999999999899 39.00000000000001 83.99999938067462 25.000000200433433 38.76556029744778 3.587040920725662 2.5909317134047285 4.342256132051288 3675.630892178959 6.395798561316495 15838.888440466624 84.24977719071852 25.250001882487453 3.8604252 2.1626304 243.5108
13 78.99999999999895 101.99999999999899 58.99999999999999 78.99999988597688 101.99999985115173 58.72806164252456 2.621409752289712 3.8471173614097713 4.837539620803022 5478.0274866140635 7.278975627103839 21129.76253960772 79.24969627784733 102.24999203786567 3.9287987999999996 2.4973343999999997 195.2452
14 95.00000000000135 15.999999999998991 101.99999999999999 94.99999999486565 16.00000003908835 101.98340613184995 3.2562508632701594 3.0240280576867127 3.842369898284189 3377.4184022962386 6.211940921746573 14931.786329515446 95.25034274872326 16.249998853601994 3.7514376 2.3822039999999998 310.007
15 96.00000000000003 80.99999999999898 18.999999999999996 95.99999979159183 80.99999980146865 19.400955252900484 2.305098386948139 3.5147038052211497 3.4064167235779985 2835.9610567234217 6.877750836124892 11409.536120549916 96.24968730613719 81.24999752012592 3.6523476 2.0802 199.3276
16 43.000000000002586 47.999999999999 52.00000000000001 42.99999965791821 48.000000339022634 51.66637060389078 2.969409597925791 2.79168996825105 3.1967230254935965 3308.9083955040605 9.156994574437773 10413.699991576588 43.250187678815166 48.25000182852519 3.545916 2.0093136 228.4594
17 64.99999999999861 75.99999999999899 74.00000000000001 64.99999995719172 76.00000057340391 74.38146186558183 3.27945661269097 2.915552661838347 3.1972839605935715 2139.966018328823 5.259768026088212 10875.32263662413 65.24986485915154 76.24999410881502 3.8765675999999996 2.0561591999999997 308.9889
18 89.99999999999638 37.99999999999898 95.0 89.99999996765511 37.99999996538061 95.13045453327648 3.5763801228632226 2.1891004201923097 3.812588216399306 3855.1895865259175 8.338781511224958 13202.113411248993 90.24986034121477 38.24999524509117 3.6201192 2.116044 281.0178
19 40.00000000000074 58.999999999998984 94.0 40.000000061218714 59.00000009159932 94.36261693363065 3.0502745589859614 3.3878804315541857 4.354396220270155 2236.8268077035636 3.4877859885275657 16225.142620871096 40.249547913832174 59.24999765711162 3.8869703999999996 2.3819952 218.3565
20 87.00000000000381 98.99999999999896 52.00000000000001 86.99999986731702 99.00000012332117 51.570297071180946 3.5877976703112604 2.693183299642345 3.738120074870255 2952.595589493662 5.928371069589252 13541.354497962968 87.24990419689301 99.25000306403467 3.9537588000000006 2.1198287999999996 240.1584
21 77.99999999999935 34.999999999999 46.99999999999999 77.9999999459388 34.999999952538275 46.67531649421587 2.9559483038193446 3.473942453072713 4.403435964415636 4853.499211521001 7.88490283428348 17429.6793884191 78.25029615953717 35.249997316812575 3.9919751999999997 2.2068659999999998 323.7686
22 27.999999999998067 20.999999999998963 43.99999999999999 28.000000127480547 20.99999986273103 43.883472313691385 3.535943014633584 2.0239748663815953 4.718861311662147 1910.7608337488643 3.572269624006551 13604.443591313177 28.249599721395327 21.249996475003442 3.539364 2.017974 273.0868
23 64.00000000000033 36.999999999999005 61.99999999999999 64.00000003360834 37.00000076503799 61.705412224825764 3.6238704650454507 2.0940557339949186 3.1490918377590464 1136.7308809532274 2.9944012565359612 9397.039818359068 64.25005372862975 37.24999842320432 3.6298896000000003 2.0836044 274.0443
24 55.99999999999828 92.99999999999898 33.99999999999999 56.00000011664346 92.99999987168741 33.73124670354543 3.478044060547016 3.0034338919454893 4.602241094896805 6691.537266082865 9.885135441579758 19768.37689881905 56.24962067638624 93.24999505445747 3.9502644000000005 2.3479715999999997 233.8872
25 104.00000000000219 101.99999999999899 76.0 104.00000004289289 101.99999995149062 76.36408901666277 3.353177171892004 2.657094077641276 3.7526209674580153 4877.905615266241 9.488509094386542 14910.729557897694 104.25021945140007 102.24999174992458 3.5002464 2.4601284 293.7876
26 90.00000000000048 51.99999999999899 27.999999999999993 90.00000007871948 51.999999905364135 28.220859537983817 2.3362399048611064 3.9098260118375174 4.149660418056583 4707.148933235246 7.984593325758097 16726.35977518278 90.24987915981642 52.24999945078976 3.9473832 2.2722804 350.325
27 36.000000000001364 24.99999999999899 49.00000000000001 36.000000018065066 25.00000038510244 49.23987990995403 3.687906687745441 2.4500097345696483 4.898141797414709 2519.2730703922216 3.78988506235286 17022.843608435673 36.250279339104964 25.2499951897733 3.8207916 2.2371744 288.8277
28 89.9999999999999 34.999999999998984 85.0 89.99999994352122 34.999999929470256 84.97285469807188 2.208181343596884 3.939063640190701 3.605059499497497 3738.067621264815 7.543599254360936 14002.344067917633 90.25054204461215 35.249995082544885 3.9395736 2.2072163999999996 181.1539
29 91.00000000000007 30.999999999998984 58.99999999999999 91.00000038596313 30.999999884783925 58.888907945791345 2.3866569836454845 3.698957134906992 3.623797952866068 1128.0187316564966 2.244569509730368 11945.286285256832 91.24947904442924 31.249995396903067 3.725784 2.3446332 351.1488
30 36.99999999999841 81.99999999999898 61.99999999999999 37.00000035037445 82.00000038832128 62.19447685138044 2.6544706619214233 3.754833000296147 4.67357600865456 4147.613374750027 5.874708931286905 19283.99360270095 37.24991805609665 82.24999883076181 3.8883864000000004 2.454684 340.4414
31 79.99999999999969 83.99999999999896 100.0 80.00000014346577 84.00000017652118 99.89440175315431 2.3623358572617383 3.658228622817134 4.072203039512828 2686.5442689860115 4.829788669111096 14723.372469478512 80.25053609681358 84.25000277115946 3.6672588 2.348334 354.7781
32 39.99999999999906 39.99999999999897 78.00000000000001 39.99999997085101 39.99999997509674 78.48199444986129 3.7816956033076194 2.324322701125444 4.369238964784459 2110.8279020125037 3.5708281481479553 15017.972725080623 40.25045675571596 40.25000073151949 3.8573291999999997 2.1965508 283.8837
33 88.00000000000325 92.99999999999899 46.99999999999999 87.99999994525966 92.99999988390744 46.54965954952362 2.265298176949181 3.6644416257631844 3.4371477923771323 2468.8113155848823 5.414700940028792 12222.806871058523 88.24954323197909 93.2499934917172 3.6655463999999998 2.2635036 181.8013
34 36.99999999999898 82.99999999999898 21.00000000000001 36.999999853375414 82.9999998975171 20.903336143179565 3.3431871422730968 2.8997632076347704 3.7994080859417516 3940.5818155717957 8.049683906128426 13902.138360148849 37.25019172639 83.24999479331441 3.896718 2.0979468 232.4531
35 100.00000000000013 97.99999999999896 26.999999999999986 99.99999962199118 97.9999998942247 26.79423867138006 3.126662144726168 3.0906330582610955 3.4966408333811994 3352.4375449258405 7.005013582309465 13365.947890274598 100.25043270077352 98.24999541770944 3.742728 2.3065092000000003 225.7475
36 56.999999999999886 16.99999999999899 52.99999999999999 57.00000045740914 17.000000210511132 52.72466339217756 2.574466049325289 3.17067706878425 3.6294741020069083 2894.2698850416964 6.961657066204437 11561.364628233001 57.25042514826899 17.25000019894574 3.5365908 2.0430144 327.1463
37 30.999999999997243 93.99999999999896 91.0 30.999999881704156 94.0000001942762 90.81008081933639 3.9536546310325535 2.1495001372537574 3.4983334459580395 1999.9671424895637 4.306627551752283 12098.226089393724 31.25015312089056 94.24999554052908 3.9786888000000005 2.1028956 277.5918
38 55.000000000000796 90.99999999999899 38.0 55.000000227673 90.99999933224977 38.340584012305825 3.2353434364372387 3.1906009701641604 3.509628983213349 2424.8224028149507 4.699375741694243 13573.256182337607 55.24963171755823 91.25000145498704 3.8561244 2.4037416 225.9197
39 46.00000000000034 47.999999999998984 20.000000000000004 46.000000004741594 47.99999996201854 20.017047852676264 3.56458933805825 2.2360888303111954 3.2064802278371576 3586.3751713764477 9.296819535759951 11181.09868936341 46.2501749819871 48.25000370038098 3.6509628000000003 2.0921819999999998 285.3096
40 88.00000000000016 40.99999999999899 86.0 87.99999999641219 40.999999998429445 85.50505828406266 2.0386778095532017 3.9745099261359136 4.962638428207568 5416.933844355003 8.488764480636105 18201.176512642687 88.24996052433508 41.24999660730331 3.9777432 2.0324316 182.6849
